,Area,Room,Parking,Warehouse,Elevator,Price,Latitude,Longitude
0,63.0,1,True,True,True,1850000000.0,35.6737039,51.520322
1,60.0,1,True,True,True,1850000000.0,35.6737039,51.520322
2,79.0,2,True,True,True,550000000.0,35.7371227,51.8172149
3,95.0,2,True,True,True,902500000.0,35.7749162,51.3102689
4,123.0,2,True,True,True,7000000000.0,36.06,14.20889
5,70.0,2,True,True,False,2050000000.0,0.0,0.0
6,87.0,2,True,True,True,600000000.0,35.7371227,51.8172149
7,59.0,1,True,True,True,2150000000.0,35.6737039,51.520322
8,54.0,2,True,True,False,493000000.0,33.468304,50.2491691
9,71.0,1,True,True,True,2370000000.0,32.66367,-116.27363
10,68.0,2,True,True,True,2450000000.0,32.66367,-116.27363
11,64.0,1,True,True,True,2100000000.0,34.0230481,58.1646077
12,54.0,1,False,True,True,1690000000.0,34.0230481,58.1646077
13,136.0,3,True,True,True,11000000000.0,29.4972462,52.2458117
14,95.0,2,True,True,True,5000000000.0,33.8974554,48.764602
15,63.0,1,False,True,False,570000000.0,35.5478513,51.2318676
16,155.0,3,True,True,True,6700000000.0,34.0230481,58.1646077
17,64.0,2,False,True,False,1450000000.0,33.890332,48.7627407
18,140.0,3,True,True,True,6400000000.0,32.66367,-116.27363
19,42.0,1,False,True,False,1390000000.0,33.890332,48.7627407
20,93.0,2,True,True,True,7000000000.0,36.06,14.20889
21,87.0,2,True,True,True,2500000000.0,0.0,0.0
22,65.0,1,True,True,True,1880000000.0,35.6737039,51.520322
23,99.0,2,True,True,True,2277000000.0,35.6811307,51.401641
24,105.0,2,True,True,True,7150000000.0,29.4972462,52.2458117
25,160.0,3,True,True,True,14945000000.0,35.8066647,51.4013931
26,77.0,2,True,True,True,1771000000.0,35.6781799,51.400731
27,123.0,2,True,True,True,4059000000.0,33.890332,48.7627407
28,110.0,2,True,True,True,630000000.0,0.0,0.0
29,100.0,2,True,True,True,3200000000.0,32.66367,-116.27363
30,90.0,2,False,True,False,1500000000.0,30.2687508,57.1051311
31,49.0,1,True,True,True,2200000000.0,32.66367,-116.27363
32,96.0,2,True,True,True,7872000000.0,35.7732674,51.4329527
33,67.0,2,True,True,False,2350000000.0,45.7747,-86.5507
34,68.0,2,True,True,True,2500000000.0,32.66367,-116.27363
35,62.0,1,True,False,True,2150000000.0,35.7164354,51.396155
